checkpoint,timestep,episode_return,cost_total,all_time_peak_average,electricity_consumption_total,discomfort_proportion,discomfort_hot_proportion,ramping_average,zero_net_energy,comfort_violation_hours,grid_limit_exceedances,clipping_events,reserve_events
ppo_00010000_steps.zip,10000,-618.5763183814581,1.2393587353747448,1.0172044455758371,1.259397624688277,0.7757575757575758,0.012121212121212121,0.8622505753733737,1.2897451594618459,2,63,0,87
ppo_00020000_steps.zip,20000,-592.7615082159265,0.8389340520942395,0.9541904565347253,0.8500618215626478,0.23030303030303031,0.1393939393939394,0.8774485255743353,0.8548437585156381,24,23,0,46
ppo_00030000_steps.zip,30000,-1364.0520253388695,0.773801114870684,0.9611499810706573,0.7814078354242632,0.42424242424242425,0.40606060606060607,0.9049456550773232,0.7636887516520922,67,27,0,122
ppo_00040000_steps.zip,40000,-1444.9723330119746,0.7524122769239867,0.9591862220023057,0.7723384996024326,0.4484848484848485,0.4303030303030303,0.9226079141272838,0.7341349169094001,71,30,0,108
ppo_00050000_steps.zip,50000,-1277.9447778575184,0.7598231682330826,0.9298646487901885,0.7697690621209018,0.43636363636363634,0.4303030303030303,0.9606566166621342,0.7394810549060223,71,30,0,112
ppo_00060000_steps.zip,60000,-1177.4703694052575,0.761248034776227,0.908347263278528,0.7696456354337824,0.3878787878787879,0.37575757575757573,1.0001696430255813,0.7505710247140338,62,28,0,104
ppo_00070000_steps.zip,70000,-717.388505126354,0.7853213499877316,0.8920472511432382,0.7970484056772583,0.2727272727272727,0.24848484848484848,1.0784532512746845,0.787911040380643,41,29,0,80
ppo_00080000_steps.zip,80000,-613.7373059369083,0.7786236664237626,0.8919562898830141,0.7903107563816387,0.24848484848484848,0.21212121212121213,1.1552248334365498,0.7758489639117959,35,29,0,72
ppo_00090000_steps.zip,90000,-573.2595923436181,0.7919815137200931,0.905591612463797,0.7976052745200714,0.24848484848484848,0.1696969696969697,1.2260133142798157,0.7765824473171268,28,30,0,120
ppo_00100000_steps.zip,100000,-549.3444772428237,0.7886606135295541,0.8618364154405324,0.7845020502844944,0.30303030303030304,0.1696969696969697,1.3105550879543222,0.7605551613344594,28,26,0,122
ppo_00110000_steps.zip,110000,-460.5429756714385,0.7588307828022056,0.8659117255954625,0.766681812975514,0.24242424242424243,0.1393939393939394,1.3233794303914652,0.7424254321223795,23,22,0,116
ppo_00120000_steps.zip,120000,-458.79362401821714,0.7552433089444168,0.873267196004584,0.7612095632071273,0.2545454545454545,0.12727272727272726,1.3566015623524714,0.7328550294361809,21,21,0,167
ppo_00130000_steps.zip,130000,-401.8267863365688,0.7949707961050592,0.8618364154405324,0.7839164826490992,0.2727272727272727,0.06060606060606061,1.5584997609920903,0.755157453224079,10,31,0,160
ppo_00140000_steps.zip,140000,-398.52935032803623,0.7803393303629088,0.8618364154405324,0.7758971170012203,0.2727272727272727,0.06666666666666667,1.583702236495395,0.7305774650022768,11,29,0,137
ppo_00150000_steps.zip,150000,-396.6142714614336,0.7643396108525775,0.8618364154405324,0.7608145504684058,0.26666666666666666,0.06060606060606061,1.5568198873657006,0.7177214772332059,11,28,0,61
ppo_00160000_steps.zip,160000,-368.1436209788491,0.7594445223159071,0.8618364154405324,0.7550082042592366,0.2545454545454545,0.06060606060606061,1.5428776480730233,0.707943924778609,10,27,0,119
ppo_00170000_steps.zip,170000,-401.08584874352204,0.7540502435182259,0.8706782985982031,0.7613992510758275,0.22424242424242424,0.07878787878787878,1.433765341273775,0.7191245003749194,13,28,0,117
ppo_00180000_steps.zip,180000,-383.5580480510549,0.7590506537543416,0.8618364154405324,0.7629804834165128,0.24848484848484848,0.06666666666666667,1.4927637758450734,0.7128485075755022,11,27,0,107
ppo_00190000_steps.zip,190000,-362.57409978472805,0.7647473519896408,0.9656191006041153,0.7718915798572961,0.2545454545454545,0.03636363636363636,1.5111281921754673,0.7181676133492844,6,32,0,73
ppo_00200000_steps.zip,200000,-403.0660970443524,0.762136307014664,0.8618364154405324,0.770502327804967,0.23030303030303031,0.05454545454545454,1.503109244899333,0.725356170246818,10,29,0,80
final.zip,200704,-380.00495517495443,0.7709530418647187,0.8618364154405324,0.7749352447635959,0.2606060606060606,0.06060606060606061,1.5609249440295383,0.7241600118302226,11,29,0,94
