#{"t_start": 1788293058.8830578, "env_id": "None"}
r,l,t
-882.801095,167,0.819388
-855.911041,167,1.052843
-766.505852,167,1.288746
-812.999449,167,1.521584
-845.888199,167,1.760436
-845.489474,167,1.998533
-782.393483,167,2.231137
-880.307021,167,2.464837
-854.214135,167,2.699134
-860.03004,167,2.933207
-820.671423,167,3.16712
-933.992054,167,3.400341
-896.554649,167,3.850163
-846.479647,167,4.084098
-834.202246,167,4.317587
-871.266231,167,4.548045
-796.338653,167,4.778368
-834.121383,167,5.008307
-730.630957,167,5.240959
-803.972586,167,5.474342
-897.222422,167,5.707547
-778.522878,167,5.939978
-845.432661,167,6.175852
-824.558109,167,6.409082
-769.875315,167,6.714805
-885.078658,167,6.949486
-793.113219,167,7.18358
-717.099438,167,7.417732
-790.473672,167,7.652346
-789.378063,167,7.886525
-810.450006,167,8.120967
-776.965449,167,8.355282
-740.703576,167,8.588992
-730.009462,167,8.819589
-816.960327,167,9.049744
-769.92488,167,9.280502
-796.331185,167,9.588402
-727.904507,167,9.82059
-772.080364,167,10.051423
-779.643426,167,10.282591
-790.75421,167,10.513788
-813.93802,167,10.746413
-1049.189959,167,10.978035
-695.683972,167,11.20967
-798.992061,167,11.441017
-688.199485,167,11.672349
-694.967079,167,11.946432
-642.087552,167,12.180951
-714.529252,167,12.414932
-699.820153,167,12.770214
-683.516992,167,13.000817
-727.930162,167,13.231745
-759.597073,167,13.462055
-631.552427,167,13.692579
-729.181624,167,13.922336
-744.625989,167,14.152647
-749.437059,167,14.382529
-675.167234,167,14.612779
-665.707041,167,14.842332
-745.087674,167,15.113374
-634.835008,167,15.348977
-938.959548,167,15.657015
-628.076204,167,15.892367
-644.618295,167,16.127057
-710.001818,167,16.36724
-682.99606,167,16.605798
-650.936187,167,16.841193
-619.133271,167,17.07916
-763.146098,167,17.315752
-698.500637,167,17.551856
-753.511967,167,17.788668
-715.301997,167,18.024549
-711.263897,167,18.261303
-659.924205,167,18.570479
-715.937683,167,18.805942
-601.798295,167,19.040869
-623.127366,167,19.276243
-628.831923,167,19.511241
-671.088732,167,19.745947
-583.381551,167,19.9807
-657.259376,167,20.215768
-642.913624,167,20.450767
-664.696448,167,20.685528
-647.351936,167,20.920418
-608.058574,167,21.155036
-765.409925,167,21.462824
-630.531498,167,21.694903
-635.996775,167,21.92606
-698.255505,167,22.157001
-737.249556,167,22.388055
-576.999462,167,22.619374
-656.912748,167,22.85038
-633.643331,167,23.081645
-584.581806,167,23.313108
-680.565425,167,23.544494
-579.787358,167,23.776336
-590.091087,167,24.007523
-850.740213,167,24.238864
-879.917842,167,24.547992
-713.208678,167,24.780424
-537.400318,167,25.011859
-705.795653,167,25.244223
-711.058428,167,25.4764
-644.158352,167,25.70825
-769.495722,167,25.939774
-734.617057,167,26.17136
-632.440785,167,26.402854
-662.063894,167,26.63434
-617.457906,167,26.86533
-565.349503,167,27.096397
-630.37867,167,27.401769
-816.226405,167,27.635066
-604.657279,167,27.866884
-624.185406,167,28.099178
-886.544993,167,28.332958
-603.28896,167,28.564108
-745.385406,167,28.795374
-556.777545,167,29.026261
-682.568511,167,29.258909
-672.493543,167,29.494807
-634.914132,167,29.730418
-640.23625,167,29.965735
-730.184813,167,30.274535
-652.117657,167,30.509261
-620.74866,167,30.749755
-634.587982,167,30.987453
-615.688722,167,31.22292
-747.794273,167,31.457763
-544.878868,167,31.693927
-755.35083,167,31.929131
-643.867663,167,32.163893
-749.586987,167,32.396825
-612.998123,167,32.630261
-613.886977,167,32.863198
-558.161767,167,33.169897
-770.001025,167,33.401221
-605.22048,167,33.631733
-507.094493,167,33.862424
-670.560671,167,34.093042
-568.517904,167,34.324316
-610.473201,167,34.554851
-588.411728,167,34.785314
-642.74724,167,35.015321
